aisle_id,aisle,Perishables
1,prepared soups salads,1
2,specialty cheeses,1
3,energy granola bars,0
4,instant foods,0
5,marinades meat preparation,1
6,other,0
7,packaged meat,1
8,bakery desserts,1
9,pasta sauce,0
10,kitchen supplies,0
11,cold flu allergy,0
12,fresh pasta,1
13,prepared meals,1
14,tofu meat alternatives,1
15,packaged seafood,1
16,fresh herbs,1
17,baking ingredients,0
18,bulk dried fruits vegetables,0
19,oils vinegars,0
20,oral hygiene,0
21,packaged cheese,1
22,hair care,0
23,popcorn jerky,0
24,fresh fruits,1
25,soap,0
26,coffee,0
27,beers coolers,0
28,red wines,0
29,honeys syrups nectars,0
30,latino foods,0
31,refrigerated,1
32,packaged produce,1
33,kosher foods,1
34,frozen meat seafood,0
35,poultry counter,1
36,butter,0
37,ice cream ice,0
38,frozen meals,0
39,seafood counter,1
40,dog food care,0
41,cat food care,0
42,frozen vegan vegetarian,0
43,buns rolls,1
44,eye ear care,0
45,candy chocolate,0
46,mint gum,0
47,vitamins supplements,0
48,breakfast bars pastries,1
49,packaged poultry,1
50,fruit vegetable snacks,0
51,preserved dips spreads,0
52,frozen breakfast,0
53,cream,1
54,paper goods,0
55,shave needs,0
56,diapers wipes,0
57,granola,0
58,frozen breads doughs,0
59,canned meals beans,0
60,trash bags liners,0
61,cookies cakes,1
62,white wines,0
63,grains rice dried goods,0
64,energy sports drinks,0
65,protein meal replacements,0
66,asian foods,1
67,fresh dips tapenades,1
68,bulk grains rice dried goods,0
69,soup broth bouillon,0
70,digestion,0
71,refrigerated pudding desserts,0
72,condiments,0
73,facial care,0
74,dish detergents,0
75,laundry,0
76,indian foods,1
77,soft drinks,0
78,crackers,0
79,frozen pizza,0
80,deodorants,0
81,canned jarred vegetables,0
82,baby accessories,0
83,fresh vegetables,1
84,milk,1
85,food storage,0
86,eggs,1
87,more household,0
88,spreads,0
89,salad dressing toppings,0
90,cocoa drink mixes,0
91,soy lactosefree,1
92,baby food formula,0
93,breakfast bakery,1
94,tea,0
95,canned meat seafood,0
96,lunch meat,0
97,baking supplies decor,0
98,juice nectars,0
99,canned fruit applesauce,0
100,missing,0
101,air fresheners candles,0
102,baby bath body care,0
103,ice cream toppings,0
104,spices seasonings,0
105,doughs gelatins bake mixes,0
106,hot dogs bacon sausage,1
107,chips pretzels,0
108,other creams cheeses,0
109,skin care,0
110,pickled goods olives,0
111,plates bowls cups flatware,0
112,bread,1
113,frozen juice,0
114,cleaning products,0
115,water seltzer sparkling water,0
116,frozen produce,0
117,nuts seeds dried fruit,0
118,first aid,0
119,frozen dessert,0
120,yogurt,1
121,cereal,0
122,meat counter,1
123,packaged vegetables fruits,1
124,spirits,0
125,trail mix snack mix,0
126,feminine care,0
127,body lotions soap,0
128,tortillas flat bread,0
129,frozen appetizers sides,0
130,hot cereal pancake mixes,0
131,dry pasta,0
132,beauty,0
133,muscles joints pain relief,0
134,specialty wines champagnes,0
